Designator,Footprint,Quantity,Value,LCSC Part #
"C101, Clp103",EEEFK1H100UR,2,10u 50V,C178547
C102,GRM1885C1H101JA01D,1,100p,C71664
C103,EEEFTH101XAP,1,100u 50V,C165974 
"C201, C202, C301",GRM21BR61E226ME44L,3,22u,C86816
"C203, C205, C207",C3216X5R1H106K160AB,3,10u,C329928
"C204, C206, Cb102",GRM31C5C2A104JA01L,3,100n,C405303
"Cb101, Cb103, Clp101",GRM31C5C1H683JA01L,3,68n,C77084
"Cb104, Cf102, Ct102",CGA4J2C0G1H223J125AA,3,22n,C415303
Cf101,GRM1885C1H102JA01D,1,1n,C77026
Cf103,GRM1885C1H103JA01D,1,10n,C85973
"Cf104, Ct104",GRM1885C1H472JA01D,2,4n7,C85980
"Clp102, Clp104, Clp105, Clp106",GRM31C5C1H224JE02L,4,220n,C464977
"Ct101, Ct103",GRM1885C1H682JA01D,2,6n8,C162241
"D101, D102",CDSOD323-T12LC,2,12V 1pF,C911368
D201,D20V0L1B2WS-7,1,20V 15pF,C507921
D202,DDZ12B-7,1,DDZ12B-7,C2760568
D301,APT1608LSECK_J3-PRV,1,Red 100mcd/120°/2mA,C5357909
"R101, R102",RT0603BRD07150RL_UL-M,2,150R,C705726
"R103, R302, R304, Rb101, Rb102",ERA-3AEB392V,5,3k9,C473237
"R104, Rf101",MCA1206MD1005BP100,2,10M,C4259100
"R105, R202",ERA-6AEB101V,2,100R,C445646
R201,RT0603BRD0710KL,1,10k,C95204
"R203, R204, R303",RT0603BRD0747KL,3,47k,C326725
R301,RT0603BRD07100KL,1,100k,C122538
"RV301, RV302",ST-4ETB103,2,trim B10k,C2922095
"Rt101, Rt102",RT0603DRD072K2L,2,2k2,C705970
"U101, U102",OPA145IDBVR,2,OPA145,C2058624
U201,ZXMP3A17E6TA,1,ZXMP3A17E6TA,C154715
U301,MMDT2222A-7-F,1,MMDT2222A-7-F,C96379
