Designator,Mid X,Mid Y,Rotation,Layer
C101,53.95,-31.75,180.0,top
C102,25.4,-14.05,0.0,top
C103,39.0,-25.2,0.0,top
C201,14.5,-28.6,270.0,top
C202,23.1,-26.6,180.0,top
C203,32.1,-26.6,90.0,top
C204,50.8,-19.55,270.0,top
C205,53.8,-27.0,0.0,top
C206,21.05,-19.15,0.0,top
C207,21.0,-16.8,0.0,top
C301,3.4,-14.7,180.0,top
Cb101,27.9,-7.9,90.0,top
Cb102,21.1,-7.8,270.0,top
Cb103,23.5,-7.9,270.0,top
Cb104,25.75,-8.3,270.0,top
Cf101,57.8,-23.5,90.0,top
Cf102,59.5,-23.6,90.0,top
Cf103,61.2,-23.5,90.0,top
Cf104,62.7,-23.5,90.0,top
Chp101,46.4,-20.85,0.0,top
Chp102,46.4,-18.6,0.0,top
Chp103,48.25,-8.6,180.0,top
Chp104,44.7,-15.8,180.0,top
Chp105,44.7,-13.4,180.0,top
Chp106,48.15,-14.9,90.0,top
Ct101,21.0,-14.55,0.0,top
Ct102,20.1,-12.1,90.0,top
Ct103,21.8,-11.9,90.0,top
Ct104,23.1,-12.1,90.0,top
D101,47.1,-26.3,0.0,top
D102,26.45,-25.9,90.0,top
D201,35.35,-33.6,0.0,top
D202,11.8,-32.0,270.0,top
D301,35.0,-30.9,0.0,top
R101,59.85,-30.6,90.0,top
R102,61.75,-30.6,90.0,top
R103,25.8,-10.95,180.0,top
R104,25.8,-15.95,180.0,top
R105,30.65,-22.6,180.0,top
R201,9.3,-31.6,90.0,top
R202,18.0,-29.0,180.0,top
R203,29.55,-25.7,0.0,top
R204,29.55,-27.2,180.0,top
R301,3.0,-11.2,180.0,top
R302,2.9,-12.8,180.0,top
R303,7.5,-21.7,90.0,top
R304,9.0,-21.6,90.0,top
RV301,3.1,-24.4,180.0,top
RV302,14.8,-23.8,90.0,top
Rb101,41.2,-7.8,90.0,top
Rb102,26.9,-12.5,180.0,top
Rf101,55.8,-23.1,90.0,top
Rt101,42.9,-7.8,90.0,top
Rt102,29.0,-19.25,90.0,top
U101,51.8,-23.7,0.0,top
U102,25.05,-19.8,90.0,top
U201,15.9,-32.7,0.0,top
U301,3.6,-17.8,180.0,top
