"#","Reference","Qty","Value","Footprint","Mfr Part #","LCSC Part #"
"1","C101","1","220n","library:GRM31C5C1H224JE02L","GRM31C5C1H224JE02L","C464977"
"2","C102","1","220n","library:GRM31C5C1H224JE02L","GRM31C5C1H224JE02L","C464977"
"3","C103","1","220n","library:GRM31C5C1H224JE02L","GRM31C5C1H224JE02L","C464977"
"4","C104","1","100p","library:cap_CL10C101JB8NNNC","CL10C101JB8NNNC","C14858"
"5","C105","1","100u 50V","library:EEEFTH101XAP","EEEFTH101XAP","C165974 "
"6","C201","1","22u","library:cap_CL31A226KAHNNNE","CL31A226KAHNNNE","C12891"
"7","C202","1","22u","library:cap_CL31A226KAHNNNE","CL31A226KAHNNNE","C12891"
"8","C203","1","22u","library:cap_CL31A226KAHNNNE","CL31A226KAHNNNE","C12891"
"9","C204","1","22u","library:cap_CL31A226KAHNNNE","CL31A226KAHNNNE","C12891"
"10","C205","1","100n","library:GRM31C5C1H104JA01L","GRM31C5C1H104JA01L","C97946"
"11","C206","1","100n","library:GRM31C5C1H104JA01L","GRM31C5C1H104JA01L","C97946"
"12","C301","1","22u","library:cap_CL31A226KAHNNNE","CL31A226KAHNNNE","C12891"
"13","C302","1","22u","library:cap_CL31A226KAHNNNE","CL31A226KAHNNNE","C12891"
"14","Cb101","1","68n","library:GRM31C5C1H683JA01L","GRM31C5C1H683JA01L","C77084"
"15","Cb102","1","22n","library:GRM21B5C1H223JA01L","GRM21B5C1H223JA01L","C77069"
"16","Cb103","1","100n","library:GRM31C5C1H104JA01L","GRM31C5C1H104JA01L","C97946"
"17","Cb104","1","68n","library:GRM31C5C1H683JA01L","GRM31C5C1H683JA01L","C77084"
"18","Cf101","1","1n","library:GRM1885C1H102JA01D","GRM1885C1H102JA01D","C77026"
"19","Cf102","1","22n","library:GRM21B5C1H223JA01L","GRM21B5C1H223JA01L","C77069"
"20","Cf103","1","4n7","library:GRM1885C1H472JA01D","GRM1885C1H472JA01D","C85980"
"21","Cf104","1","4n7","library:GRM1885C1H472JA01D","GRM1885C1H472JA01D","C85980"
"22","Cf105","1","4n7","library:GRM1885C1H472JA01D","GRM1885C1H472JA01D","C85980"
"23","Chp101","1","68n","library:GRM31C5C1H683JA01L","GRM31C5C1H683JA01L","C77084"
"24","Chp102","1","220n","library:GRM31C5C1H224JE02L","GRM31C5C1H224JE02L","C464977"
"25","Chp103","1","220n","library:GRM31C5C1H224JE02L","GRM31C5C1H224JE02L","C464977"
"26","Chp104","1","100u 50V","library:EEEFTH101XAP","EEEFTH101XAP","C165974 "
"27","Chp105","1","220n","library:GRM31C5C1H224JE02L","GRM31C5C1H224JE02L","C464977"
"28","Chp106","1","220n","library:GRM31C5C1H224JE02L","GRM31C5C1H224JE02L","C464977"
"29","Chp107","1","100n","library:GRM31C5C1H104JA01L","GRM31C5C1H104JA01L","C97946"
"30","Chp108","1","68n","library:GRM31C5C1H683JA01L","GRM31C5C1H683JA01L","C77084"
"31","Ct101","1","4n7","library:GRM1885C1H472JA01D","GRM1885C1H472JA01D","C85980"
"32","Ct102","1","4n7","library:GRM1885C1H472JA01D","GRM1885C1H472JA01D","C85980"
"33","Ct103","1","22n","library:GRM21B5C1H223JA01L","GRM21B5C1H223JA01L","C77069"
"34","Ct104","1","4n7","library:GRM1885C1H472JA01D","GRM1885C1H472JA01D","C85980"
"35","D101","1","12V 1pF","library:CDSOD323-T12LC","CDSOD323-T12LC","C911368"
"36","D102","1","12V 1pF","library:CDSOD323-T12LC","CDSOD323-T12LC","C911368"
"37","D201","1","20V 15pF","library:D20V0L1B2WS-7","D20V0L1B2WS-7","C507921"
