Designator,Mid X,Mid Y,Rotation,Layer
C101,54.4,-16.6,90.0,top
C102,56.6,-16.6,90.0,top
C103,52.1,-16.6,90.0,top
C104,31.8,-11.4,180.0,top
C105,29.0,-28.0,0.0,top
C201,63.6,-7.6,270.0,top
C202,35.3,-31.7,270.0,top
C203,45.85,-20.4,90.0,top
C204,43.65,-16.4,90.0,top
C205,45.2,-7.3,270.0,top
C206,29.3,-12.7,90.0,top
C301,9.5,-14.9,90.0,top
C302,11.9,-14.9,90.0,top
Cb101,23.85,-8.5,90.0,top
Cb102,25.95,-7.9,270.0,top
Cb103,26.0,-4.05,270.0,top
Cb104,23.7,-4.05,270.0,top
Cf101,49.3,-11.1,270.0,top
Cf102,47.5,-7.15,90.0,top
Cf103,50.85,-7.0,90.0,top
Cf104,49.3,-7.0,90.0,top
Cf105,52.35,-7.0,90.0,top
Chp101,36.7,-12.4,90.0,top
Chp102,39.0,-12.4,90.0,top
Chp103,41.3,-12.4,90.0,top
Chp104,43.25,-27.4,0.0,top
Chp105,35.55,-7.3,90.0,top
Chp106,37.85,-7.3,90.0,top
Chp107,42.45,-7.3,270.0,top
Chp108,40.15,-7.3,270.0,top
Ct101,19.0,-11.35,270.0,top
Ct102,16.9,-10.4,180.0,top
Ct103,13.4,-10.4,90.0,top
Ct104,15.0,-10.6,90.0,top
D101,66.75,-30.05,180.0,top
D102,45.2,-34.2,0.0,top
D201,63.6,-11.9,90.0,top
D202,30.7,-34.1,180.0,top
D301,35.5,-34.9,0.0,top
R101,53.95,-10.8,180.0,top
R102,53.95,-12.4,180.0,top
R103,19.1,-15.0,180.0,top
R104,32.8,-13.75,0.0,top
R105,32.55,-16.05,180.0,top
R201,26.6,-34.1,180.0,top
R202,35.7,-26.9,270.0,top
R203,46.4,-17.4,180.0,top
R204,46.4,-15.9,0.0,top
R301,5.1,-11.8,0.0,top
R302,6.8,-13.4,0.0,top
R303,5.8,-7.6,90.0,top
R304,5.1,-10.2,0.0,top
R305,12.5,-18.0,180.0,top
RV301,9.5,-9.168,90.0,top
Rb101,23.8,-12.2,90.0,top
Rb102,28.9,-6.1,0.0,top
Rf101,51.2,-11.6,270.0,top
Rt101,21.16,-10.4,180.0,top
Rt102,19.3,-17.2,270.0,top
U101,46.1,-11.8,270.0,top
U102,30.4,-8.8,0.0,top
U201,39.5,-33.849986,0.0,top
U301,5.8,-15.6,180.0,top
